family,tier,A_name,delta,K,S_wc,max_g,n_designs
did,Tier2_Contested,A,0.0,1,1.3453624047060928,1.3453624047060928,144
did,Tier2_Contested,A,0.0,2,1.3453624047060775,1.3453624047060928,144
did,Tier2_Contested,A,0.0,5,1.3453624047057295,1.3453624047060928,144
did,Tier2_Contested,A,0.0,10,1.3453624047047428,1.3453624047060928,144
did,Tier2_Contested,A,0.0,15,1.3453624047033268,1.3453624047060928,144
did,Tier2_Contested,A,0.0,20,1.3453624047007,1.3453624047060928,144
did,Tier2_Contested,A,0.0,50,1.2206609313549837,1.3453624047060928,144
did,Tier2_Contested,A,0.0,100,1.0603304656774921,1.3453624047060928,144
did,Tier2_Contested,A,0.5,1,1.3453624047060928,1.3453624047060928,144
did,Tier2_Contested,A,0.5,2,1.3453624047060775,1.3453624047060928,144
did,Tier2_Contested,A,0.5,5,1.3453624047057295,1.3453624047060928,144
did,Tier2_Contested,A,0.5,10,1.3453624047047428,1.3453624047060928,144
did,Tier2_Contested,A,0.5,15,1.3453624047033268,1.3453624047060928,144
did,Tier2_Contested,A,0.5,20,1.3453624047007,1.3453624047060928,144
did,Tier2_Contested,A,0.5,50,1.2206609313549837,1.3453624047060928,144
did,Tier2_Contested,A,0.5,100,1.0603304656774921,1.3453624047060928,144
did,Tier2_Contested,A,1.0,1,1.3453624047060928,1.3453624047060928,144
did,Tier2_Contested,A,1.0,2,1.3453624047060775,1.3453624047060928,144
did,Tier2_Contested,A,1.0,5,1.3453624047057295,1.3453624047060928,144
did,Tier2_Contested,A,1.0,10,1.3453624047047428,1.3453624047060928,144
did,Tier2_Contested,A,1.0,15,1.3453624047033268,1.3453624047060928,144
did,Tier2_Contested,A,1.0,20,1.3453624047007,1.3453624047060928,144
did,Tier2_Contested,A,1.0,50,1.2206609313549837,1.3453624047060928,144
did,Tier2_Contested,A,1.0,100,1.0603304656774921,1.3453624047060928,144
did,Tier2_Contested,A,1.64,1,1.3453624047060928,1.3453624047060928,144
did,Tier2_Contested,A,1.64,2,1.3453624047060775,1.3453624047060928,144
did,Tier2_Contested,A,1.64,5,1.3453624047057295,1.3453624047060928,144
did,Tier2_Contested,A,1.64,10,1.3453624047047428,1.3453624047060928,144
did,Tier2_Contested,A,1.64,15,1.3453624047033268,1.3453624047060928,144
did,Tier2_Contested,A,1.64,20,1.3453624047007,1.3453624047060928,144
did,Tier2_Contested,A,1.64,50,1.2206609313549837,1.3453624047060928,144
did,Tier2_Contested,A,1.64,100,1.0603304656774921,1.3453624047060928,144
did,Tier2_Contested,A,1.96,1,1.3453624047060928,1.3453624047060928,144
did,Tier2_Contested,A,1.96,2,1.3453624047060775,1.3453624047060928,144
did,Tier2_Contested,A,1.96,5,1.3453624047057295,1.3453624047060928,144
did,Tier2_Contested,A,1.96,10,1.3453624047047428,1.3453624047060928,144
did,Tier2_Contested,A,1.96,15,1.3453624047033268,1.3453624047060928,144
did,Tier2_Contested,A,1.96,20,1.3453624047007,1.3453624047060928,144
did,Tier2_Contested,A,1.96,50,1.2206609313549837,1.3453624047060928,144
did,Tier2_Contested,A,1.96,100,1.0603304656774921,1.3453624047060928,144
did,Tier2_Contested,A,2.58,1,1.3453624047060928,1.3453624047060928,144
did,Tier2_Contested,A,2.58,2,1.3453624047060775,1.3453624047060928,144
did,Tier2_Contested,A,2.58,5,1.3453624047057295,1.3453624047060928,144
did,Tier2_Contested,A,2.58,10,1.3453624047047428,1.3453624047060928,144
did,Tier2_Contested,A,2.58,15,1.3453624047033268,1.3453624047060928,144
did,Tier2_Contested,A,2.58,20,1.3453624047007,1.3453624047060928,144
did,Tier2_Contested,A,2.58,50,1.2206609313549837,1.3453624047060928,144
did,Tier2_Contested,A,2.58,100,1.0603304656774921,1.3453624047060928,144
did,Tier2_Contested,A,3.0,1,1.3453624047060928,1.3453624047060928,144
did,Tier2_Contested,A,3.0,2,1.3453624047060775,1.3453624047060928,144
did,Tier2_Contested,A,3.0,5,1.3453624047057295,1.3453624047060928,144
did,Tier2_Contested,A,3.0,10,1.3453624047047428,1.3453624047060928,144
did,Tier2_Contested,A,3.0,15,1.3453624047033268,1.3453624047060928,144
did,Tier2_Contested,A,3.0,20,1.3453624047007,1.3453624047060928,144
did,Tier2_Contested,A,3.0,50,1.2206609313549837,1.3453624047060928,144
did,Tier2_Contested,A,3.0,100,1.0603304656774921,1.3453624047060928,144
