family,tier,A_name,delta,K,S_wc,max_g,n_designs
did,Tier3_WiderStress,A,0.0,1,1.3453624047063077,1.3453624047063077,480
did,Tier3_WiderStress,A,0.0,2,1.3453624047062003,1.3453624047063077,480
did,Tier3_WiderStress,A,0.0,5,1.3453624047060257,1.3453624047063077,480
did,Tier3_WiderStress,A,0.0,10,1.345362404705703,1.3453624047063077,480
did,Tier3_WiderStress,A,0.0,20,1.345362404704681,1.3453624047063077,480
did,Tier3_WiderStress,A,0.0,24,1.3453624047040755,1.3453624047063077,480
did,Tier3_WiderStress,A,0.0,48,1.345362404700893,1.3453624047063077,480
did,Tier3_WiderStress,A,0.0,50,1.34536240470062,1.3453624047063077,480
did,Tier3_WiderStress,A,0.0,100,1.3453624046840822,1.3453624047063077,480
did,Tier3_WiderStress,A,0.5,1,1.3453624047063077,1.3453624047063077,480
did,Tier3_WiderStress,A,0.5,2,1.3453624047062003,1.3453624047063077,480
did,Tier3_WiderStress,A,0.5,5,1.3453624047060257,1.3453624047063077,480
did,Tier3_WiderStress,A,0.5,10,1.345362404705703,1.3453624047063077,480
did,Tier3_WiderStress,A,0.5,20,1.345362404704681,1.3453624047063077,480
did,Tier3_WiderStress,A,0.5,24,1.3453624047040755,1.3453624047063077,480
did,Tier3_WiderStress,A,0.5,48,1.345362404700893,1.3453624047063077,480
did,Tier3_WiderStress,A,0.5,50,1.34536240470062,1.3453624047063077,480
did,Tier3_WiderStress,A,0.5,100,1.3453624046840822,1.3453624047063077,480
did,Tier3_WiderStress,A,1.0,1,1.3453624047063077,1.3453624047063077,480
did,Tier3_WiderStress,A,1.0,2,1.3453624047062003,1.3453624047063077,480
did,Tier3_WiderStress,A,1.0,5,1.3453624047060257,1.3453624047063077,480
did,Tier3_WiderStress,A,1.0,10,1.345362404705703,1.3453624047063077,480
did,Tier3_WiderStress,A,1.0,20,1.345362404704681,1.3453624047063077,480
did,Tier3_WiderStress,A,1.0,24,1.3453624047040755,1.3453624047063077,480
did,Tier3_WiderStress,A,1.0,48,1.345362404700893,1.3453624047063077,480
did,Tier3_WiderStress,A,1.0,50,1.34536240470062,1.3453624047063077,480
did,Tier3_WiderStress,A,1.0,100,1.3453624046840822,1.3453624047063077,480
did,Tier3_WiderStress,A,1.64,1,1.3453624047063077,1.3453624047063077,480
did,Tier3_WiderStress,A,1.64,2,1.3453624047062003,1.3453624047063077,480
did,Tier3_WiderStress,A,1.64,5,1.3453624047060257,1.3453624047063077,480
did,Tier3_WiderStress,A,1.64,10,1.345362404705703,1.3453624047063077,480
did,Tier3_WiderStress,A,1.64,20,1.345362404704681,1.3453624047063077,480
did,Tier3_WiderStress,A,1.64,24,1.3453624047040755,1.3453624047063077,480
did,Tier3_WiderStress,A,1.64,48,1.345362404700893,1.3453624047063077,480
did,Tier3_WiderStress,A,1.64,50,1.34536240470062,1.3453624047063077,480
did,Tier3_WiderStress,A,1.64,100,1.3453624046840822,1.3453624047063077,480
did,Tier3_WiderStress,A,1.96,1,1.3453624047063077,1.3453624047063077,480
did,Tier3_WiderStress,A,1.96,2,1.3453624047062003,1.3453624047063077,480
did,Tier3_WiderStress,A,1.96,5,1.3453624047060257,1.3453624047063077,480
did,Tier3_WiderStress,A,1.96,10,1.345362404705703,1.3453624047063077,480
did,Tier3_WiderStress,A,1.96,20,1.345362404704681,1.3453624047063077,480
did,Tier3_WiderStress,A,1.96,24,1.3453624047040755,1.3453624047063077,480
did,Tier3_WiderStress,A,1.96,48,1.345362404700893,1.3453624047063077,480
did,Tier3_WiderStress,A,1.96,50,1.34536240470062,1.3453624047063077,480
did,Tier3_WiderStress,A,1.96,100,1.3453624046840822,1.3453624047063077,480
did,Tier3_WiderStress,A,2.58,1,1.3453624047063077,1.3453624047063077,480
did,Tier3_WiderStress,A,2.58,2,1.3453624047062003,1.3453624047063077,480
did,Tier3_WiderStress,A,2.58,5,1.3453624047060257,1.3453624047063077,480
did,Tier3_WiderStress,A,2.58,10,1.345362404705703,1.3453624047063077,480
did,Tier3_WiderStress,A,2.58,20,1.345362404704681,1.3453624047063077,480
did,Tier3_WiderStress,A,2.58,24,1.3453624047040755,1.3453624047063077,480
did,Tier3_WiderStress,A,2.58,48,1.345362404700893,1.3453624047063077,480
did,Tier3_WiderStress,A,2.58,50,1.34536240470062,1.3453624047063077,480
did,Tier3_WiderStress,A,2.58,100,1.3453624046840822,1.3453624047063077,480
did,Tier3_WiderStress,A,3.0,1,1.3453624047063077,1.3453624047063077,480
did,Tier3_WiderStress,A,3.0,2,1.3453624047062003,1.3453624047063077,480
did,Tier3_WiderStress,A,3.0,5,1.3453624047060257,1.3453624047063077,480
did,Tier3_WiderStress,A,3.0,10,1.345362404705703,1.3453624047063077,480
did,Tier3_WiderStress,A,3.0,20,1.345362404704681,1.3453624047063077,480
did,Tier3_WiderStress,A,3.0,24,1.3453624047040755,1.3453624047063077,480
did,Tier3_WiderStress,A,3.0,48,1.345362404700893,1.3453624047063077,480
did,Tier3_WiderStress,A,3.0,50,1.34536240470062,1.3453624047063077,480
did,Tier3_WiderStress,A,3.0,100,1.3453624046840822,1.3453624047063077,480
